Review,SENTIMEN
puas belanja di shopee banyak diskon dan gratis ongkir. penjualnya baik dan kurir sopan.,POSITIF
Aplikasi yang bagus dan sangat membantu,POSITIF
saya kecewa kenapa sekarang Shopee sangat eror. Mau checkout aja susah,NEGATIF
Shope sangat bagus bagi saya saya suka banget sama shopee,POSITIF
Kecewa Katanya gratis ongkir . Ternyata mahalnya. Gak bisa bayar di tempat pula,NEGATIF
"KECEWA DENGAN PERUBAHAN EKSPEDISI PENGIRIMANNYA!!!!!!!! BUKANNYA CEPET MALAH TAMBAH LAMA, BUKANNYA ONGKIRNYA MURAH MALAH MAHAL!!!!!!!!",NEGATIF
Bagus banget.. Aku puas.. Pengemasan rapi banget.. Makasih ya seller,POSITIF
Aplikasi sangat bagus dan banyak bonus??,POSITIF
Aplikasinya sering eror bikin pusing susah bayar susah pencarian juga,NEGATIF
Saya udh kecewa banget... Uang saya belum kembali soal pesanan,NEGATIF
"Shopee emang keren bangetlah tapi sayang, shopee later gak bisa dipakai",POSITIF
Untuk sampai saat ini masih bagus .. Pertahankan yah.,POSITIF
Bagus tingkatkan terus ya shopee,POSITIF
Shopee keren cuman ada yang jual terlalu mahal barangnya mesti seken,POSITIF
Bagus banget aplikasinya ,POSITIF
"Kelebihan: Barang yang dijual lengkap dari dalam sampai luat negeri ada. Proses pembayarannya mudah dan aman. Kekurangan: Sering loading lama banget cuman mau masukin barang ke keranjang.. padahal sudah di bersihkan chace nya :( **Tambahan: sudah versi terbaru plus clear chace admin, tapi masih aja lo...Ulasan Lengkap",POSITIF
Makasih shopee... Mantap..... Kali lain mau pesan lagi .... Bravo shopee..... Masker untuh halangi virus korona di dunia.... Wabil khusus di indonesia raya tercinta ini.... Hehe.......,POSITIF
"Suka barang"" nya cuma pengiriman nya yang kadang terlalu lama",POSITIF
Selama ini barang yang dicari selalu ada,POSITIF
Terimakasih shopee!!?,POSITIF
Barang sesuai gambar...,POSITIF
suka semoga selalu aman amanah ya terimakasih shopee,POSITIF
Pemesanan dan program pemerintah di rumah aja tambah makin enak,POSITIF
Tetap jaga kepercayaan pelanggan,POSITIF
Belanja online lebih mudah,POSITIF
Pelayanannya sangat memuaskan,POSITIF
"Sudah baik, semoga lebih baik lagi..",POSITIF
"Masih ada yang perlu dipantau kualitas dr produsen,terutama barang elektronik.",POSITIF
"mantap harganya murah, bikin pasar ofline ngadat ??",POSITIF
Aku suka aku belanja di shopee ini dari mula nya hidup virus covid 19 tapi ongkir/harga produknya tolong di potong agar lebih murah jadi bisa beli banyak,POSITIF
"Tolong perbaiki lagi performa aplikasi y , masak aku beli alat elektronik total belanja ya sering lebih 5 ribu bahkan lebih dari hitungan manual, ya terpaksa aku kurangi lagi bintang y",POSITIF
Nyaman belanja d shope...jadi g ribet,POSITIF
makasih shopee belanja jadi lebih mudah. Tinggal nunggu di rumah pesanan sampai deh,POSITIF
"Bagus, cuma ada beberapa yang perlu ditambah :)",POSITIF
"Selalu ada free ongkir, dan banyak disc, cuma 1 yang kurang sering belanja ratusan ribu tapi gak ada shopee paylater, sementara tmn gw yang jarang beli ada shopee paylater",POSITIF
puas belanja di shopee banyak diskon dan gratis ongkir. penjualnya baik dan kurir sopan.,POSITIF
"Masih jadi yang terbaik, dengan keamanan dan kenyamanan yang luar biasa",POSITIF
Apakah kalau beli barang di sini harus share lokasi??? Soal nya gak pernah beli online,POSITIF
Lebih ditingkatkan lagi untuk keaman shopeepay nya,POSITIF
Shopee makin keren,POSITIF
"Harus pinter2 milih toko untuk dapat barang murah tapi bagus, suka dengan free ongkir untuk semua toko nya, shopee sering2 ya bikin promo free ongkir nya karenaa kirim ke lokasi aku mahal banget kalo ongkirnya.",POSITIF
"lumayan membantu, cuma sayang, produk &gambar nya terkadang berbeda jauh,,,, ekspektasi nya tidak seindah kenyataan....",POSITIF
"Ya karena tidak ad yang sempurna aja di dunia, tapi senang shopee selalu meningkatkan keamanan dan kenyamanan pembeli. Terimakasi shopee",POSITIF
Asalamualikum saya mau nanya kalo buka shopee pakai email atau pasword g yang sudah pernah downlod dijawa y soalny aku baru downlod.??makasih,POSITIF
Harga murah . cepat sampai.banyakin gratis ongkir jangan mahal2 ongkirnya biar yang belanja lebih bnyak,POSITIF
"Maaf kak ini aplikasi shopee memang bagus banget. Tapi untuk jasa kirim pakait nya mahal banget harganya jadi sampe 17.000 gitu. Tolong dong diperbaiki lagi, biar makin langganan. Maaf ya kalau ucapanku mengganggu. Tapi aplikasi nya bagus bangett kok??",POSITIF
Bagus hanya saja kadang suka loading lama,POSITIF
saya kasih bintang 4 soalnya lama langganan di sini... Cuma saran sdikit d perbaiki : 1.Agak lemot klau louding 2.shopee laterku tiba2 jadi nol... padahal tgihan selalu ku bayar jauh sblm jtuh temponya 3.koin d permainan tanam ama harian smkin sdkit 4.ongkir untuk lokalan kok gk prnah 0 rp 5.dll,POSITIF
"Kasi bintang 4 aja,soalnya saat masuk cari produk gd mau muncul.tolong diperbaiki donk.",POSITIF
"Shopee sangat membantu, apa lagi shopee paylater, sayang y ongkir geratis y jarang""????",POSITIF
"Shopee aplikasi ok sih, tapi saya mau belanja di shopee pas saya mau chekout, kok tiba2"" ada masalah ya, kyak nggk ada rincian belanjaan gtu",POSITIF
sangat membantu buat kaum mager keluar wkwk,POSITIF
"Sejauh ini semua pesanan bagus, mudah2n kedepan pelayanan lebih matang lagi, lebih mantap lagi, lebih melindungi konsumen",POSITIF
Senang sekali,POSITIF
Iklan bagus barang nya sesuai pesanan,POSITIF
alhamdulillah aplikasi yang amanah,POSITIF
Pengalaman baru di era new normal.. Seru juga belanja di aplikasi ini,POSITIF
Masih berjalan mulus...belum ada kerugian...semoga kedepannya aku bisa dapat undian dari shopee...??,POSITIF
Aplikasi bagus.. Sangat membantu..,POSITIF
Oke punya  deh top,POSITIF
Keren abis nih,POSITIF
sudah langganan belanja disini,POSITIF
Semoga kedepanya semakin ok.,POSITIF
Saya saranin bisa bayar di tempat :),POSITIF
Aplikasi belanja yang sangat efektif dan bermanfaat.,POSITIF
Tambahin promo min,POSITIF
Bagus banget aplikasinya....tapi agak sedikit bermasalah saat memesan barang,POSITIF
Kadang lemot banget.. tapi overall sudah baik..,POSITIF
Semua orang sudah tau lah sophie mempermudah belanja dan aman...,POSITIF
sampai saat ini cukup bagus,POSITIF
Terima kasih sudah membantu saya,POSITIF
"Aplikasinya si oke yah, pesenan juga lancar aja. Cuma sekarang ko koin hasil belanjanya malah ditarik karena spam. Padahal saya selalu kasih bintang 5 dan review jujur bagus bagus:)) ini kenapa ko bisa gini",POSITIF
Aplikasi sangat bagus dan banyak bonus??,POSITIF
Aku suka sekali,POSITIF
Asalamualaikum Ini aplikasi bagus banget tapi saya blom tau soalnya HP saya Kentang jadi kalo Login nya lama banget tapi aplikasi nya kaga salah kok yang salah cuma HP Gw doank Thank's you,POSITIF
SHOPEE menurut ak dh bagus tapi masih ad yang karena gtu masalah koneksi nya jadi untk skarang bntng 4 dlu yh min,POSITIF
pelayanan bagus,POSITIF
Lumayan okelaa,POSITIF
"Suka pakai shoppepay tapi akun kok sekarang gak bisa dipakai punyaku ya,ada masalah apa ya..tolong jelaskan",POSITIF
"Suka banget belanja di shopee, sering2 dong keluarin voucher gratis ongkir",POSITIF
Bagus aplikasi nya tapi kadang agak lelet aja,POSITIF
"Pokonya suka banget ,bikin mudah ,dan kalo masalah barang bagus atau zonk ya tergantung kita nya aja yang nentuin dan dari pihak tokonya juga yang ngirim ,ada harga ada kualitas sih intinya mah yaa??",POSITIF
"Shopee sangat lah membantu,terimaksih banyak shopee. semoga semakin maju",POSITIF
kok ga ada kode pos kota/kelurahan tertentu ya?,POSITIF
"sejauh ini, selalu puas sama aplikasinya",POSITIF
Aplikasinya bagus pengirimanya juga cepat tepat dan akurat apalagi di tambahin cod untuk pembayaran di tempat makin tambah bagus lagi makasih shopee,POSITIF
"Kekurangan shopee, shopee harus di update terus",POSITIF
Sangat memuaskan,POSITIF
Kalau bisa shope adakan tabung emas ataw tabung saldo ( khusu penjual ) Yang mana dana di potong untuk ditabung dalam bentuk emas ataw nominal dari setiap hasil penjualan yang sudah selesai. ..jadi kita para penjual bisa menabung...,POSITIF
Memuaskan selama ini,POSITIF
"Kena rachun shopee sudah KERACUNAN SHOPEE N TIKTOK,awal ny iseng iseng aja belanja di shopee tapi stelah semakin hari semakin kena rachun, karena diskon ny itu lohk bikin aku sedih????,masa kaos tie dye harga nya 9.000 sm lengan panjang cuma 12 rbu, bahkan ada shopi mart jadi gk perlu ke alfa ato ke i...Ulasan Lengkap",POSITIF
Produk dan pengiriman nya sesuai????,POSITIF
Aku sukanya kalau ada cod...dan barangnya sesuai gambar setiap aku pesan...no tipu2.????????????????????????,POSITIF
"Mantap, banyak discount & free ongkir",POSITIF
"kalau ada belanja onlin lebih mudah,belanja tidak perlu keluar rumah tinggal menunggu saja di rumah meski beberapa hari,semoga di per kilat waktu pengiriman biar orang suka belanja onlin,sukses buat shopee",POSITIF
Bagus untuk semua orang ya...,POSITIF
"Selalu belanja di Shopee dan alhamdulillah belum pernah kecewa dengan aplikasinya,hanya saja ingin komplain soal ekspedisi J&T di Balikpapan, kenapa selalu memberitahukan barang sudah saya terima padahal sebenarnya barang blm ada dirumah saya, dan biasanya keesokan hari baru diantar,itu sering kali te...Ulasan Lengkap",POSITIF
Mantap..banyakin gratis ongkir,POSITIF
"Love shopee , mudah berbelanja di shopee, ayok kakak semuanya online ke shopee, banyak gratis ongkir, voucher, and casback ??????",POSITIF
"Barang selalu sesuai...tapi masalah ongkir masih terlalu mahal (kdangan sih)tapi aku puas.pengiriman jg cepat,,,????????",POSITIF
"Keren dah, walupun terkadang shopee pay nya sering eror",POSITIF
bagus..... banget nget nget tapi ongkir ny suka ada yang mahal²,POSITIF
"Tadi pagi dapat sms ktanya dapat hadiah uang dari shopee,, ini bneran dari shopee?? Atau cuma penipuan",POSITIF
lumayan lah belanja di shopee banyak kemudahan dan banyak voucher nya juga..,POSITIF
